,content,mistral,llama
1,"Figures show that for those aged 65, men can expect to live for another 19 years and women a further 21 years. But there is concern that too many elderly people are living in poor health. And the figures vary across the country, with the North East and North West having lower life expectancies for 65-year-olds than other regions. Life expectancy among older age groups in England rose to its highest level in 2014 - with male life expectancy increasing by 0.3 years at age 65 and 0.2 years at ages 75, 85 and 95 since 2013. Female life expectancy increased by the same amounts at the same ages. This comes after a fall in life expectancy in some older age groups between 2011 and 2012. The only region where male and female life expectancy did not increase in 2014 was in the North East, where male life expectancy was higher in 2013. Among local authorities in England, the majority showed an increase or no change in life expectancy at age 65 - but one quarter showed a decrease. In the past, statistics have tended to focus on life expectancy at birth but now that most deaths in England occur in people over the age of 80, patterns of mortality in older age groups are becoming more important. Prof John Newton, chief knowledge officer at Public Health England, said the report presented a positive national picture that made achieving ""a good quality of life in later years even more important"". ""This report is an opportunity to remind people that, even during mid-life, it is not too late to improve your health,"" he said. ""Most of us could make changes today, like stopping smoking, being more active or eating better, that would allow us to look forward to healthier later years."" He said it was not clear what had caused the variation in trends between local areas. Danny Dorling, professor of human geography at the University of Oxford, said there was an urgent need to find out why improvements had stalled in many parts of England in recent years. ""Beneath the headline figures of this report, there is evidence of worsening health for many older people in some parts of the country,"" he said. In Scotland, life expectancy continued to improve, with 65-year-old men expected to live for a further 17.4 years and women a further 19.7 years, according to the latest statistics. But there are also wide variations across the country.","Life expectancy in England has reached its highest level, with men expected to live to 84 and women to 85. However, there are concerns about the health of elderly people, as many are living with poor health. Life expectancy varies across the country, with the North East and North West having lower life expectancies than other regions. There was also variation among local authorities, with some showing decreases in life expectancy. Public Health England's chief knowledge officer, Prof John Newton, emphasized the importance of maintaining good health in later years and encouraged people to make healthy lifestyle changes. In Scotland, life expectancy has also continued to improve, with men expected to live to 82.4 and women to 84.7 years","Life expectancy among older age groups in England rose to its highest level in 2014, with men aged 65 expected to live another 19 years and women 21 more years on average. However, there are concerns about many elderly living in poor health and regional variations, with lower life expectancies for 65-year-olds in the North East and North West compared to other regions. While life expectancy improved nationally, it did not increase in the North East for men and women in 2014. About a quarter of local authorities in England saw a decrease in life expectancy at age 65. Experts stress the importance of maintaining a good quality of life in later years through lifestyle changes like stopping smoking and being more active."
2,"Media playback is not supported on this device All the tries came in the second half with Liam Williams and Gareth Davies crossing as Wales twice opened an eight-point lead. But Juan Martin Hernandez and Martin Landajo both scored as the Pumas refused to lie down. Full-back Leigh Halfpenny's 78th-minute penalty edged Wales four points clear to settle the encounter. The Toulon full-back scored 14 points with the boot, which ultimately proved the difference between the sides in a match which did not quite live up to expectations. Read: Wales restored pride, says Howley Howley praises 'world class' lock Jones Following their 32-8 defeat by Australia the previous week, Wales were relieved to hang on against a Pumas side that refused to buckle in the face of extreme pressure. After coach Rob Howley had asked for a response from his team, man of the match Alun Wyn Jones and wing Williams - who both missed the Wallabies defeat - made a huge impact on their returns. Williams' determination for his try typified a full-blooded display by the Scarlets back. Argentina failed to rediscover the exciting running which saw them beat Ireland at the same stadium in the 2015 World Cup. And while Howley would be pleased with the improvement in Wales' performance, a lack of composure in attack, particularly when they were on top in the first half, will be a concern. Wales controlled the opening period but, apart from two penalties by Halfpenny, had little to show for their dominance at the break as Argentina repeatedly infringed in their own 22. When referee Angus Gardner finally lost patience and sent prop Ramiro Herrera to the sin-bin with a minute of the first half remaining, Wales were promptly penalised at the next scrum and went in with a three-point lead which barely reflected the run of play. Media playback is not supported on this device After the break, wing Williams produced a tenacious finish to edge Wales eight points clear before Landajo's opportunism from a quick penalty created a try for the superb Hernandez. When Davies dummied over for his eighth international try and Halfpenny converted, it looked as though Wales would pull clear. But the Pumas, with Sanchez a probing threat at fly-half, hit back again when Landajo was given the benefit of the doubt by television official Sean Davey. An exchange of penalties meant Wales led by a point before Halfpenny eased the nerves with his fifth successful kick of the game. Wales: Leigh Halfpenny, George North, Jonathan Davies, Scott Williams, Liam Williams, Dan Biggar, Gareth Davies; Gethin Jenkins (captain), Ken Owens, Tomas Francis, Luke Charteris, Alun Wyn Jones, Sam Warburton, Justin Tipuric, Ross Moriarty. Replacements: Scott Baldwin, Nicky Smith, Samson Lee, Cory Hill, James King, Lloyd Williams, Gareth Anscombe, Jamie Roberts. Argentina: Joaquin Tuculet Matias Moroni, Matias Orlando, Juan Martin Hernandez, Santiago Cordero, Nicolas Sanchez, Martin Landajo; Lucas Noguera, Agustin Creevy (captain), Ramiro Herrera, Guido Petti, Matias Alemanno, Pablo Matera, Javier Ortega Desio, Facundo Isa. Replacements: Julian Montoya, Santiago Garcia Botta, Enrique Pieretto, Leonardo Senatore, Tomas Lezana, Tomas Cubelli, Santiago Gonzalez Iglesias, Jeronimo de la Fuente. Referee: Angus Gardner (Aus) Touch judges: Mike Fraser (NZ) & Luke Pearce (Eng) TMO: Sean Davey (Eng) Citing commissioner: Bruce Kuklinski (Canada) Media playback is not supported on this device","In a closely contested rugby match, Wales edged out Argentina 24-20. Argentina's strong defense kept them in the game, but a penalty in the 78th minute by Leigh Halfpenny secured the win for Wales. Both teams scored two tries each, with Halfpenny proving to be the difference with his accurate kicking. The victory was a welcome improvement for Wales after their previous loss to Australia.","Wales edged out Argentina 24-20 in a tight match, with all the tries coming in the second half. Liam Williams and Gareth Davies scored tries as Wales twice opened an 8-point lead, but Argentina responded through Juan Martin Hernandez and Martin Landajo. Leigh Halfpenny's late penalty sealed the win for Wales, with his 14 points from the boot proving crucial. Despite controlling the first half, Wales lacked composure in attack before pulling clear after the break, though Argentina refused to lie down."
3,"But the Premier League club say they want Allardyce to stay, insisting he is ""very much key to our plans"". Sunderland claim speculation about Allardyce has been ""extremely damaging"" and have urged the FA to ""bring about a swift resolution to the matter"". England are searching for a new boss after Roy Hodgson quit on 28 June. He resigned after the national team were knocked out of Euro 2016 at the last-16 stage by Iceland. Photographs that appeared to show Allardyce, 61, at the home of FA vice-chairman David Gill were published in the media in the past 24 hours. Allardyce had been on tour with Sunderland in Austria until he returned home at the start of the week, reportedly on transfer business. Sunderland said they agreed to let Allardyce speak with the FA as a ""potential candidate"" after he requested permission, but are upset discussions did not remain confidential. ""After what was an extremely challenging season, we are keen to see a period of stability, both on and off the field, and we want him to remain as manager of our football club,"" read a club statement issued on Wednesday. Kevin Davies, who played under Allardyce at Bolton, thinks his former boss would be a good choice for England. ""Where we are now as a nation, I think he is probably the right man,"" said Davies, who earned one England cap during his career. ""Motivation-wise, he is fantastic, the best I have ever worked with. He knows how to get the best out of a player. ""He has a lot of other strengths, too. He surrounds himself with the best people in the best roles, which allows him to plan and get the best out of his squad."" Davies also thinks Allardyce will improve morale in the dressing room. ""The atmosphere he will create will be similar to Wales or Iceland... that spirit, that togetherness, along with the ability that we have a lacked,"" said Davies. ""I think he has always thrived on being the underdog and I think England are going to go into a lot of games as underdogs in the future, so it probably will suit the way England are at the moment. "" Allardyce is not the only Premier League manager linked with the England job. Arsenal's Arsene Wenger, Bournemouth's Eddie Howe and Hull City's Steve Bruce have all been touted as possible candidates. United States boss Jurgen Klinsmann and former England manager Glenn Hoddle have also been linked with the job, but Allardyce is the frontrunner. The former West Ham, Newcastle, Bolton and Blackburn boss, who has one year left on his Sunderland contract, won a lot of plaudits for keeping the Black Cats in the Premier League last season. England begin their 2018 World Cup qualifying campaign on 4 September, when they face Slovakia in Trnava. The two sides met at Euro 2016, battling out a goalless draw in Group B. Media playback is not supported on this device The England manager will be chosen by a three-man panel - Gill, FA technical director Dan Ashworth and chief executive Martin Glenn. They want the next boss to be a strong-minded, tactically savvy manager who will build a clear team identity and help shape the team into a cohesive unit. Allardyce was previously interviewed for the role in 2006 after Sven-Goran Eriksson left following that year's World Cup. Eriksson's assistant Steve McClaren got the job instead but he failed to guide England to qualification for the 2008 European Championship. Here's what Allardyce has since said about the England job: 2009 After missing out to McClaren: ""I should have got it and I really don't know why I didn't. It had to be political for me, rather than my credentials. ""Maybe my external look isn't to everybody's liking. It was the right time and the right job for me but not from the FA's point of view. ""It seems foreign coaches are still all the craze for the top jobs and that is a great shame. I also think that Steve not being successful was a massive blow for British or English managers, because it has put us down a peg or two."" 2015 From his autobiography: ""I wanted to do a real knock-your-socks-off interview for the FA, so I put together a PowerPoint which looked at every single detail. ""Nobody but nobody was going to beat it. But then Brian Barwick, the chief executive, told me there were no PowerPoint facilities at the interview venue, so I had to print off hard copies for the panel. So much for the progressive FA. ""I should have got it and, as I'm a better manager now than I was then, I believe I should be in the running whenever it comes round again. That's not vanity or being full of my own importance. My track record entitles me to be considered."" May 2016 Prior to Euro 2016: ""That's gone. For me to be interested in the England job, Roy would probably have to leave at the end of the Euros. ""And would England be interested in me? They say they are looking for an English manager, but will they do it? You've got this, 'what's sexier?' element now, rather than how good you are at doing the job.","Sunderland wants Sam Allardyce to remain as their manager, stating he is key to their plans, and claiming speculation about him leaving has been damaging. However, they agreed to let Allardyce speak with the FA about the vacant England job after he requested permission. Allardyce is the frontrunner for the England role, though other candidates like Wenger, Howe, Bruce, Klinsmann and Hoddle have been linked. Allardyce previously missed out on the England job in 2006 to Steve McClaren, feeling his credentials were overlooked for political reasons. He believes his track record now entitles him to be considered, having prepared extensively with a PowerPoint presentation in 2006 that the FA could not accommodate. The FA wants the next England manager to be tactically astute and able to build a team identity.","The Sunderland football club has released a statement urging the FA to resolve the matter of their manager, Sam Allardyce, as soon as possible. Allardyce is reportedly the frontrunner for the England manager job after Roy Hodgson quit following their Euro 2016 exit. Sunderland are keen to see a period of stability and want Allardyce to remain as their manager."
4,"If he does become the next Premier League manager to lose his job, it would not just be unfair, it would be absolutely ridiculous. I cleaned Tim's boots when I was an apprentice at Norwich in the late 1980s, and he was the captain at Blackburn Rovers when we won the Premier League together in 1995. Of course I am not just backing him to succeed at Villa because I used to play with him - the reason is that, since the earliest days of my career, I have always seen him as manager material. When I was a teenager I looked up to him because I liked the way he went about things and how he dealt with me and other people. Even though he was a young man then too, the other players all thought the same. Character is a bit of a buzzword these days, but as a player I looked around for team-mates who had the ability to handle pressure and Tim was always one of them. At 46, he is a relatively young manager now, certainly in terms of experience, but you have to remember he was quite a young captain at Blackburn too - he was 26 when we were champions. We had some pretty big-hitters in terms of personalities in that dressing room, the likes of Alan Shearer, David Batty, Tim Flowers and Colin Hendry. They were never afraid to have their say but, if you speak to them, they will all tell you they admired Tim not just for what he brought to the team as a player but also his contribution to the club's success as captain. For Tim to be skipper ahead of, say, Shearer shows you what the Blackburn boss Kenny Dalglish thought of him too. He always had the leadership qualities you need as a manager and, on top of that, I always thought he was extremely knowledgeable about the game. He comes across as confident or even cocky in some respects, but in the dressing room it doesn't matter whether you are an introvert or an extrovert as long as what you are saying makes sense. Tim always did. So it does not surprise me that, as a manager, he has got the best out of players who had been under-performing - like Emmanuel Adebayor at Spurs or Christian Benteke and Fabian Delph at Villa last season - because he has always had the ability to get people playing for him. At times he might say things that players don't like - because he tells the truth. That ruffles a few feathers but I don't mind it, in fact he should be commended for it. These days I hear a lot of people in football say things with no substance behind them, but Tim certainly is not like that - he can always back his opinions up. Tim earned his right to have a proper crack at being Villa boss with the incredible job he did to keep them up after taking charge in February, when they were in desperate trouble with a dreadful scoring record. Villa have been fighting relegation for a few years now under several different managers so this season was never going to be any different. But, just eight games into the new campaign and at the first sign of adversity, Sherwood already appears to be under massive pressure. You have to take into consideration that he lost his two best players over the summer in striker Benteke and midfielder Delph, who were both inspirational for him last season, and realise he is trying to build a new team with all the signings that Villa have made. Villa's net spend over the summer was under Â£10m - and a lot of that went on young players with little or no Premier League experience. They have plenty of potential, and also plenty of sell-on value which seems to be a big part of the club's thinking, but it is a gamble whether they work out for Villa now and that is Sherwood's problem. I don't know who had the final say on each deal but from what I understand, Villa's head of recruitment Paddy Reilly and sporting director Hendrik Almstadt play a big part in the process. You cannot blame Tim for the squad not being strong enough if it is not just down to him, but he is the one who is being criticised because Villa have not won since the opening day. I get why the club's owner Randy Lerner might be getting twitchy because of the amount of money at stake if they go down, but the logical thing to do is to give Sherwood more time because he is an intelligent man who has already shown he can improve players - which is exactly what Villa need now. Sherwood has chopped and changed his team and formation a lot so far, but that is only because he is trying to find the right balance between attack and defence while he beds those new signings in and finds a system that works with the players he has got. The choices he has to make with his current forwards is an example of how difficult that is. Like Benteke, Rudy Gestede has tremendous physical attributes and is as good as there is in the air in the Premier League. In an effort to make the most of that, Sherwood has tried to get his full-backs forward to get crosses into the box - Jordan Amavi and Alan Hutton or Leandro Bacuna have all done that far more than any of Villa's midfielders. But what Gestede doesn't have is the ability to link up play, or the pace to get behind defences. In that way, Benteke was much more of an all-round striker. Sherwood can leave out Gestede and play Gabriel Agbonlahor or Jordan Ayew if he wants pace, but then he does not have that same physical presence up front, or any aerial threat. Whoever he picks, he is missing something that Benteke provided on his own. Because he is trying to find that balance between attack and defence, he cannot always play two up front to solve that problem, especially because he is also trying to fit Jack Grealish into his team as an attacking midfielder. Grealish is a young player who has a lot of talent but picking him creates a different issue because winning games is not just down to what happens when you have got the ball. However good Grealish is going forward, he does not always put in a shift going back the other way. When you lose possession, you need to be compact and tight defensively and Villa have lacked that in the games I have seen, notably in their defeat by Leicester when they were hit on the counter-attack time and time again. You really need defensive responsibility when you are in Villa's position near the bottom of the table. That might be one of the reasons why Sherwood has apparently used this international break to try to get Grealish fitter. After trying so many formations and line-ups, maybe we will see Sherwood sticking with just one in the next five or six games. A settled system and some continuity is what Villa need at the moment. Tim knows that and, if he is given the chance, I am confident he will get it right. Chris Sutton was speaking to BBC Sport's Chris Bevan.","Tim Sherwood should not be sacked as Aston Villa manager. He took over when the team was struggling and has shown he can improve players. He is trying to find the right balance between attack and defence and is still trying to find a system that works with the players he has got. He has chopped and changed his team and formation a lot so far, but that is only because he is trying to find the right balance between attack and defense while he beds those new signings in. Sherwood has earned his right to have a proper crack at being Villa boss with the incredible job he did to keep them up after taking charge in February when they were in desperate trouble with a dreadful scoring record.","The author strongly supports Tim Sherwood succeeding as Aston Villa manager, arguing he has the character, leadership qualities, and tactical knowledge required. The author believes Sherwood has already improved players at Villa like Adebayor previously at Spurs, and should be given more time despite Villa's poor start as he tries to rebuild the squad following the summer departures of Benteke and Delph. Sherwood is still searching for the right balance and system to compensate for losing Benteke's all-round abilities as a striker. The author is confident that if given a chance, Sherwood will get Villa playing well."
5,"An internal prison report seen by the BBC says the the inmate ran down a landing with the keys at HMP Wayland. ""As he was being restrained another prisoner attempted to grab another officer's keys,"" the report adds. A Prison Service spokesman said both men had been transferred to a higher security jail. They also face additional time added to their sentences. Both men were ""quickly apprehended"" during the incident on A wing at about 09:00 BST on 27 May, the report states. Wayland, near Watton in Norfok, is a Category C men's prison with just over 1,000 inmates","Two prisoners at Wayland Prison attempted to escape on May 27th. One inmate stole keys and ran down a landing, while another attempted to grab keys from another officer. Both were apprehended and transferred to a higher-security jail, and will have additional time added to their sentences.","An internal report states that an inmate at HMP Wayland ran down a landing with keys, while another prisoner attempted to grab an officer's keys during the restraint. Both inmates were quickly apprehended during this incident on May 27th around 9am. The two men have been transferred to higher security jails and face additional time added to their sentences as a result of this occurrence at the Category C men's prison housing over 1,000 inmates."
6,"He is approaching the end of his 10th year in charge and thinks it is the right time to seek a fresh challenge. Cricket Scotland chairman Keith Oliver said: ""There is no doubt that the governing body of cricket in Scotland is unrecognisable from where we were in 2004. ""And the credit for this must go to Roddy and his staff."" During Smith's time as chief executive, his management team have increased from eight to 25 and turnover has quadrupled. I am delighted that I leave an organisation in good health with a growing game and after a year of exceptional on-field performances by national teams at all levels Cricket Scotland reported a rise in participation figures for players, coaches and umpires during those 10 years. And the national side have secured a place at next year's World Cup finals in Australia and New Zealand by beating Kenya in a qualifying event. Oliver, who has worked with Smith during that whole period, said: ""Back then, we could not have imagined we would have won global qualifying events, played in world cups at youth and senior level, played One Day International games in front of thousands, run a fully professional national team as well as winning numerous development awards at a European and Global level. ""I and all at Cricket Scotland wish Roddy every success in his next role."" Cricket Scotland will start the recruitment process to find Smith's successor with the aim of having a replacement in place early in the new year. Smith said: ''I have thoroughly enjoyed my time with Cricket Scotland and it's hard to believe it has been nearly a decade. ""I am delighted that I leave an organisation in good health with a growing game and after a year of exceptional on-field performances by national teams at all levels. ""Ten years is a long time for a chief executive of a national governing body and now feels exactly the right time to move on to my next challenge. ""With a Cricket World Cup to look forward to early next year and a number of newly-appointed quality staff to work with, I am looking forward to handing over to my successor an organisation that is very well placed to succeed in the future."" Cricket Scotland announced in June that it plans a new ""world class"" base in Stirling, relocating from Edinburgh, with a new pavilion at the home of Stirling County Cricket Club designed to host international matches.","Roddy Smith, CEO of Cricket Scotland, is stepping down after 10 years. During his tenure, the organization has experienced significant growth, with the number of employees increasing from eight to 25, turnover quadrupling, and participation figures rising. The national team has also achieved notable success, securing a place at next year's World Cup finals. Smith's successor will be appointed early next year.","Roddy Smith is stepping down after nearly 10 years as chief executive of Cricket Scotland. During his tenure, the organization grew substantially - increasing staff from 8 to 25 and quadrupling turnover. Participation figures for players, coaches and umpires also rose. Notable achievements include Scotland's national team securing a place at the 2015 World Cup and hosting ODIs in front of large crowds. Cricket Scotland chairman Keith Oliver credited Smith for transforming the governing body over the past decade. Smith feels it is the right time for a fresh challenge, leaving Cricket Scotland in good health after a successful year. The recruitment process is underway to have Smith's successor in place early next year as Cricket Scotland prepares to relocate to a new base in Stirling."
7,"Transport Minister Edwina Hart said she also wanted to introduce measures to streamline the system and cut fraud. Tough new guidelines to tackle abuse, introduced in 2013, were suspended by one council in February 2015. Neath Port Talbot council had received complaints that genuine cases were being rejected. It was one of a number of local authorities reporting a big rise in rejections, after being told not to just rely on evidence from GPs. A consultation on Welsh ministers' latest proposals has been launched.",Welsh Transport Minister Edwina Hart introduced new guidelines in 2013 to combat abuse in the blue badge system. Neath Port Talbot council suspended these guidelines in February 2015 after receiving complaints that genuine cases were being rejected. The council reported a big rise in rejections after being told not to rely on evidence from GPs. A consultation on Welsh ministers' latest proposals has been launched.,"Transport Minister Edwina Hart wants to introduce measures to streamline the system for issuing disabled parking badges and cut fraud. In 2013, tough new guidelines were introduced to tackle abuse of the system, but Neath Port Talbot council suspended them in 2015 after complaints that genuine cases were being rejected. Several councils reported a big rise in rejections after being told not to solely rely on evidence from GPs. The Welsh government has launched a consultation on its latest proposals regarding the disabled parking badge system."
8,"Operation Equinox is investigating claims of sexual, physical and emotional abuse between the 1940s and 1990s. In a letter to victims Nottinghamshire Police confirmed 530 of 636 reported crimes were on council property. Officers also said 485 alleged offences were committed by council staff and of 432 suspects, 283 had been identified. More on this story and other news in Nottinghamshire So far, police have had 290 people report crimes. Operation Equinox combined two police inquiries. Operation Daybreak, sent up in 2011, was focussed on the Beechwood children's home in Nottingham, while Operation Xeres has been looking at residential homes in the county. The letter emphasises the progress already made, with former social worker Andris Logins jailed for 20 years. Two other men have been jailed for historical attacks not connected to children's homes and three more trials are due to begin in early 2017. Nottinghamshire Police has not commented directly as the information is part of an ongoing enquiry","Operation Equinox is investigating claims of sexual, physical, and emotional abuse at council-run properties in Nottinghamshire between the 1940s and 1990s. Of 636 reported crimes, 530 occurred on council property and 485 were allegedly committed by council staff. Police have identified 283 of 432 suspected perpetrators so far. The operation has combined two previous inquiries - Operation Daybreak into Beechwood Children's home and Operation Xeres into other residential homes in the county. One former social worker has been jailed for 20 years, while two others were convicted of unrelated historical attacks and three more trials are upcoming.","Operation Equinox investigates abuse claims made in Nottingham between the 1940s and 1990s. 530 of 636 reported crimes occurred on council property and 485 were allegedly committed by council staff. Of 432 suspects, 283 have been identified. Operation Equinox combines Operations Xeres and Daybreak, focusing on residential homes and Beechwood children's homes, respectively."
9,"The 130m-tall (420ft) Bulford Kiwi, on Bulford Hill near Stonehenge, was carved by New Zealand troops who were stationed there. The Department for Culture, Media and Sport has made it a scheduled monument on the advice of Historic England. Kiwi soldiers played a significant role in the Battle of Messines, fought in June 1917 in Belgium. Another monument at Cannock Chase in Staffordshire, marking the same battle, has also been granted protection. The Terrain Model of Messines - a scale model of the battlefield - was made by German prisoners of war using soil, concrete, bricks and pebbles. The model was a popular tourist attraction at the end of the war, but it became neglected and was lost until it was recently excavated. It has now been covered over again to protect it from damage and erosion. Roger Bowdler from Historic England said: ""These two monuments pay tribute to the bravery of New Zealand's fighting forces in the First World War and we are delighted that they are now being protected for the future. ""The Bulford Kiwi was cut into the chalk at the end of the war by Kiwi soldiers themselves, to mark the presence of their forces in England, and their achievements at the front. ""The taking of the Messines ridge was one of the war's most stirring attacks, and this model lay-out remains as testimony to the planning which made possible the victory. ""Like so much of our historic environment, these lasting reminders enable us to connect with lives and events from the past that made us who we are as a nation. ""One hundred years on, it is right to remember New Zealand's valour."" Sir Jerry Mateparae, New Zealand High Commissioner to the UK said: ""It's fantastic to see Historic England protecting two very significant sites of huge importance for New Zealand. ""The special connections that were forged 100 years ago, with communities in the UK where New Zealanders trained, are still strong today and it's moving to see these sites protected for generations to come.","The 130m Bulford Kiwi chalk carving created by New Zealand troops stationed near Stonehenge and a monument at Cannock Chase marking the 1917 Battle of Messines have been protected as scheduled monuments by the UK government. A terrain model of the Messines battlefield, made by German POWs and once a tourist attraction, was recently re-excavated and re-covered for protection. These monuments honor the bravery of New Zealand forces in WWI and preserve connections forged between the two nations during the war.","The Bulford Kiwi, a 130m-tall chalk carving created by New Zealand troops, has been designated a scheduled monument. The Terrain Model of Messines, a scale model of a WWI battlefield made by German POWs, has also received protection to preserve its historical significance. Both monuments commemorate the contributions of New Zealand forces in the First World War."
